signature,technique_id,technique_name,tactic,description
ET COINMINER Cryptexplorer API Check - Potential CoinMiner Traffic,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER Observed DNS Query to Browser Coinminer (crypto-loot[.]com),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER Observed DNS Query to herominers Domain (herominers .com),T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER PrimeCoinMiner.Protominer,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER W32/BitCoinMiner.MultiThreat Getblocktemplate Protocol Server Coinbasetxn Begin Mining Response,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER W32/BitCoinMiner.MultiThreat Getblocktemplate Protocol Server Connection,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER W32/BitCoinMiner.MultiThreat Stratum Protocol Mining.Notify Initial Connection Server Response,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER W32/BitCoinMiner.MultiThreat Stratum Protocol Mining.Notify Work Server Response,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET COINMINER W32/BitCoinMiner.MultiThreat Subscribe/Authorize Stratum Protocol Message,T1496,Resource Hijacking,Impact,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.DNS.BEACON.[CSBundle DNS],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle CDN GET],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle MSOffice GET],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle MSOffice POST],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle MSOffice Server],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle NYTIMES GET],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle NYTIMES POST],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle NYTIMES Server],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle Original GET],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle Original POST],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle Original Server 2],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle Original Server 3],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle Original Server],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle Original Stager 2],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle Original Stager],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
ET CURRENT_EVENTS [Fireeye] Backdoor.HTTP.BEACON.[CSBundle USAToday GET],T1041,Exfiltration Over C2 Channel,Exfiltration,Mapped from ET Open rule metadata.
